rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
335,mp-734045,Cu2H2Se2O7,P2_1/c,222.1,1.000,light-element hydride heuristic,11.78,0.0,0.029075,0.087225,3,phonon+spin+topological,26,0.0,
336,mp-1982329,K2CoH4(I2O7)2,C2,218.3,1.350,hydride heuristic (H_count=4),17.97,0.0,0.043572,0.087143,2,phonon+spin,17,0.0,
337,mp-1229305,Ag14H8I4(OF2)5,P2_1,250.2,2.000,hydride heuristic (H_count=8),31.32,0.0,0.087094,0.087094,1,phonon,10,0.0,
338,mp-1199306,CoH16C4S4(N4Cl)2,P4_2/n,164.0,2.400,hydride heuristic (H_count=16),23.89,0.0,0.043526,0.087052,2,phonon+spin,13,0.0,
339,mp-644259,Ti2NiH,Fd-3m,245.1,0.900,light-element hydride heuristic,10.65,0.0,0.029015,0.087045,3,phonon+spin+orbital,29,0.0,
340,mp-24724,TbH2,Fm-3m,271.6,1.000,light-element hydride heuristic,14.41,0.0,0.043499,0.086998,2,phonon+spin,21,0.0,
341,mp-1198408,Ba2HRu3O10,P2_12_12_1,245.0,0.900,light-element hydride heuristic,10.65,0.0,0.028975,0.086924,3,phonon+spin+orbital,29,0.0,
342,mp-1651906,K2CoH4(I2O7)2,P2_1,217.8,1.350,hydride heuristic (H_count=4),17.93,0.0,0.043377,0.086753,2,phonon+spin,17,0.0,
343,mp-558794,Cu2BH5O6,Pnma,204.2,1.500,hydride heuristic (H_count=5),19.11,0.0,0.043376,0.086753,2,phonon+spin,16,0.0,
344,mp-558144,CuH10(CO4)2,P2_1/c,168.9,2.200,hydride heuristic (H_count=10),22.95,0.0,0.043065,0.086130,2,phonon+spin,14,0.0,
345,mp-1191727,Na3H2OsO6,P2_1/m,220.3,1.000,light-element hydride heuristic,11.69,0.0,0.028625,0.085874,3,phonon+topological+orbital,26,0.0,
346,mp-505097,Co3H2Se3O10,P-1,219.9,1.000,light-element hydride heuristic,11.67,0.0,0.028523,0.085570,3,phonon+spin+topological,26,0.0,
347,mp-696931,TlCuHSeO5,P2_1/m,242.8,0.900,light-element hydride heuristic,10.55,0.0,0.028477,0.085432,3,phonon+spin+topological,29,0.0,
348,mp-1196302,MnTe4(H3N)6,P2_1/c,191.1,1.200,hydride heuristic (H_count=3),13.39,0.0,0.028428,0.085285,3,phonon+spin+topological,23,0.0,
349,mp-1178433,CoH8(SO6)2,P2_1/c,175.1,2.000,hydride heuristic (H_count=8),21.91,0.0,0.042622,0.085243,2,phonon+spin,14,0.0,
350,mp-862687,CuH6(NCl)2,Cmcm,183.6,1.800,hydride heuristic (H_count=6),20.83,0.0,0.042485,0.084971,2,phonon+spin,15,0.0,
351,mp-1232413,Na3CuP2H6NO13,P2_1/m,183.4,1.800,hydride heuristic (H_count=6),20.82,0.0,0.042438,0.084876,2,phonon+spin,15,0.0,
352,mp-697994,Cu3H4SO8,Pnma,215.3,1.350,hydride heuristic (H_count=4),17.72,0.0,0.042391,0.084781,2,phonon+spin,17,0.0,
353,mp-734839,CrH6SO7,Cc,183.1,1.800,hydride heuristic (H_count=6),20.79,0.0,0.042295,0.084590,2,phonon+spin,15,0.0,
354,mp-1103808,La4H9,I4/mmm,240.8,2.100,hydride heuristic (H_count=9),31.46,0.0,0.084181,0.084181,1,phonon,10,0.0,
355,mp-1147649,LiNiH2,P4/mmm,218.0,1.000,light-element hydride heuristic,11.57,0.0,0.028023,0.084069,3,phonon+spin+orbital,26,0.0,
356,mp-690725,TlCuHSO5,P2_1/m,240.4,0.900,light-element hydride heuristic,10.45,0.0,0.027899,0.083696,3,phonon+spin+topological,29,0.0,
357,mp-743569,MnH6(OF)3,P2_1/c,182.2,1.800,hydride heuristic (H_count=6),20.67,0.0,0.041848,0.083696,2,phonon+spin,15,0.0,
358,mp-722515,NaCu2H2(SeO5)2,C2/m,217.0,1.000,light-element hydride heuristic,11.52,0.0,0.027765,0.083296,3,phonon+spin+topological,27,0.0,
359,mp-643913,CoH6(NCl)2,Imma,181.6,1.800,hydride heuristic (H_count=6),20.61,0.0,0.041579,0.083157,2,phonon+spin,15,0.0,
360,mp-977573,HfH3,Pm-3m,301.4,1.350,hydride heuristic (H_count=4),24.81,0.0,0.083110,0.083110,1,phonon,13,0.0,
361,mp-24288,LuH2,Fm-3m,293.3,0.900,metal hydride heuristic,12.75,0.0,0.041553,0.083106,2,phonon+spin,24,0.0,
362,mp-698414,CuH8C2NCl3,P-1,172.8,2.000,hydride heuristic (H_count=8),21.63,0.0,0.041509,0.083019,2,phonon+spin,14,0.0,
363,mp-863015,EuH32C8N4Cl7,P2_12_12,160.0,2.400,hydride heuristic (H_count=32),23.31,0.0,0.041438,0.082875,2,phonon+spin,13,0.0,
364,mp-32697,Y10H21,P-1,225.7,2.400,hydride heuristic (H_count=21),32.89,0.0,0.082501,0.082501,1,phonon,10,0.0,
365,mp-24164,CuH2(SeO3)2,P2_1/c,215.7,1.000,light-element hydride heuristic,11.45,0.0,0.027425,0.082275,3,phonon+spin+topological,27,0.0,
366,mp-642660,Mg2CoH5,P4/nmm,198.7,1.500,hydride heuristic (H_count=5),18.59,0.0,0.041049,0.082097,2,phonon+spin,17,0.0,
367,mp-2228384,NaMgCu2H2(SeO5)2,C2,214.2,1.000,light-element hydride heuristic,11.37,0.0,0.027049,0.081148,3,phonon+spin+topological,27,0.0,
368,mp-698413,CuH8C2NCl3,C2/c,170.0,2.000,hydride heuristic (H_count=8),21.29,0.0,0.040219,0.080437,2,phonon+spin,15,0.0,
369,mp-1209043,Sr2Al4Fe3P4(H2O13)2,P-1,212.9,1.000,light-element hydride heuristic,11.30,0.0,0.026719,0.080156,3,phonon+spin+orbital,27,0.0,
370,mp-1221695,Na4Co12P8H4O37,P-1,209.2,1.350,hydride heuristic (H_count=4),17.22,0.0,0.040024,0.080048,2,phonon+spin,18,0.0,
371,mp-23955,CuH2SeO5,P-1,212.6,1.000,light-element hydride heuristic,11.28,0.0,0.026661,0.079983,3,phonon+spin+topological,27,0.0,
372,mp-758235,Na2TeH5SO10,Cc,195.9,1.500,hydride heuristic (H_count=5),18.33,0.0,0.039912,0.079824,2,phonon+topological,17,0.0,
373,mp-1025425,Co3H,P6_3/mmc,287.3,0.900,light-element hydride heuristic,12.49,0.0,0.039852,0.079704,2,phonon+spin,25,0.0,
374,mp-1069520,Zr2CuH2,I4/mmm,259.9,1.000,light-element hydride heuristic,13.79,0.0,0.039820,0.079639,2,phonon+spin,22,0.0,
375,mp-774926,EuH4S2NO8,P2_1/c,208.6,1.350,hydride heuristic (H_count=4),17.17,0.0,0.039806,0.079613,2,phonon+spin,18,0.0,
376,mp-1226072,Co4H,P-3m1,286.8,0.900,light-element hydride heuristic,12.47,0.0,0.039734,0.079469,2,phonon+spin,25,0.0,
377,mp-1069811,Hf2H2Pd,I4/mmm,319.2,1.200,hydride heuristic (H_count=3),22.37,0.0,0.079331,0.079331,1,phonon,14,0.0,
378,mp-1200865,CuH6C2O7,Pcca,177.2,1.800,hydride heuristic (H_count=6),20.12,0.0,0.039617,0.079234,2,phonon+spin,15,0.0,
379,mp-626799,ReH3O5,P1,225.6,1.200,hydride heuristic (H_count=3),15.80,0.0,0.039606,0.079212,2,phonon+topological,19,0.0,
380,mp-625103,YbHO2,P-42_1m,286.3,0.900,light-element hydride heuristic,12.44,0.0,0.039571,0.079142,2,phonon+spin,25,0.0,
381,mp-1202916,U3H2OF12,Cm,258.9,1.000,light-element hydride heuristic,13.74,0.0,0.039511,0.079023,2,phonon+spin,22,0.0,
382,mp-24727,TmH2,Fm-3m,286.0,0.900,metal hydride heuristic,12.43,0.0,0.039498,0.078997,2,phonon+spin,25,0.0,
383,mp-643697,Rb3MnH5,I4/mcm,194.7,1.500,hydride heuristic (H_count=5),18.22,0.0,0.039418,0.078835,2,phonon+spin,17,0.0,
384,mp-567451,MnH8C2NCl3,P2_1/c,168.1,2.000,hydride heuristic (H_count=8),21.05,0.0,0.039312,0.078624,2,phonon+spin,15,0.0,
385,mp-1199131,NaEuP2H4CO7,P2_1/c,207.1,1.350,hydride heuristic (H_count=4),17.05,0.0,0.039247,0.078493,2,phonon+spin,18,0.0,
386,mp-1213465,CuAgAs2H3O8,P2_1/c,224.5,1.200,hydride heuristic (H_count=3),15.73,0.0,0.039240,0.078479,2,phonon+spin,20,0.0,
387,mp-24178,Mn3H2Se3O10,P-1,210.5,1.000,light-element hydride heuristic,11.17,0.0,0.026118,0.078355,3,phonon+spin+topological,27,0.0,
388,mp-1213178,Cu2AgH(SeO5)2,C2/m,231.6,0.900,light-element hydride heuristic,10.06,0.0,0.025898,0.077693,3,phonon+spin+topological,30,0.0,
389,mp-1196668,CeP4H50C12Cl3O11,P-1,154.8,2.400,hydride heuristic (H_count=50),22.56,0.0,0.038796,0.077591,2,phonon+spin,14,0.0,
390,mp-779879,MnH6(S2O9)2,Pccn,175.2,1.800,hydride heuristic (H_count=6),19.88,0.0,0.038686,0.077372,2,phonon+spin,16,0.0,
391,mp-24192,ErH2,Fm-3m,282.9,0.900,metal hydride heuristic,12.30,0.0,0.038661,0.077321,2,phonon+spin,25,0.0,
392,mp-1226079,CoH6(NCl)2,C2,174.8,1.800,hydride heuristic (H_count=6),19.84,0.0,0.038548,0.077096,2,phonon+spin,16,0.0,
393,mp-505176,Co2P2H4O9,P2_1/c,205.2,1.350,hydride heuristic (H_count=4),16.89,0.0,0.038511,0.077022,2,phonon+spin,18,0.0,
394,mp-27731,HfH2,I4/mmm,314.5,1.200,hydride heuristic (H_count=3),22.03,0.0,0.076988,0.076988,1,phonon,14,0.0,
395,mp-1211818,K4H5(SeO4)4,P-1,191.9,1.500,hydride heuristic (H_count=5),17.96,0.0,0.038309,0.076618,2,phonon+topological,17,0.0,
396,mp-632348,YbHO2,P2_1/m,281.6,0.900,light-element hydride heuristic,12.24,0.0,0.038300,0.076599,2,phonon+spin,25,0.0,
397,mp-1220559,Nb4H3S8,P-6m2,221.7,1.200,hydride heuristic (H_count=3),15.53,0.0,0.038275,0.076550,2,phonon+charge,20,0.0,
398,mp-1095188,CaNiGeH,P4/nmm,229.8,0.900,light-element hydride heuristic,9.99,0.0,0.025502,0.076507,3,phonon+spin+orbital,31,0.0,
399,mp-1217971,Ta2H,C2/m,347.8,0.750,metal hydride heuristic,9.87,0.0,0.038134,0.076268,2,phonon+topological,31,0.0,
400,mp-1067482,NiHO2,Cm,229.4,0.900,light-element hydride heuristic,9.97,0.0,0.025420,0.076259,3,phonon+spin+orbital,31,0.0,
401,mp-24528,CrH8C4(S2N3)2,P-1,165.5,2.000,hydride heuristic (H_count=8),20.72,0.0,0.038106,0.076212,2,phonon+spin,15,0.0,
402,mp-1008881,MgNiH,P4/mmm,228.8,0.900,light-element hydride heuristic,9.94,0.0,0.025278,0.075833,3,phonon+spin+orbital,31,0.0,
403,mp-632311,Ta2H,P-4m2,346.0,0.750,metal hydride heuristic,9.82,0.0,0.037746,0.075492,2,phonon+topological,31,0.0,
404,mp-24082,Ta2H,C222,345.9,0.750,metal hydride heuristic,9.81,0.0,0.037716,0.075431,2,phonon+topological,31,0.0,
405,mp-1194497,Sm(BH4)2,Pbcn,202.9,1.350,hydride heuristic (H_count=4),16.70,0.0,0.037648,0.075295,2,phonon+spin,18,0.0,
406,mp-780738,H4WNCl6,C2/c,202.6,1.350,hydride heuristic (H_count=4),16.68,0.0,0.037557,0.075114,2,phonon+topological,18,0.0,
407,mp-1199725,CeH(SeO3)2,Pca2_1,227.4,0.900,light-element hydride heuristic,9.88,0.0,0.024980,0.074941,3,phonon+spin+topological,31,0.0,
408,mp-643570,NiH2SO5,C2/c,205.7,1.000,light-element hydride heuristic,10.91,0.0,0.024940,0.074819,3,phonon+spin+orbital,28,0.0,
409,mp-24083,Th2AlH4,I4/mcm,284.7,1.350,hydride heuristic (H_count=4),23.44,0.0,0.074163,0.074163,1,phonon,13,0.0,
410,mp-1147705,RbInH3,Fm-3m,218.2,1.200,hydride heuristic (H_count=3),15.29,0.0,0.037071,0.074142,2,phonon+topological,20,0.0,
411,mp-999337,NiHO2,P3m1,226.0,0.900,light-element hydride heuristic,9.82,0.0,0.024666,0.073999,3,phonon+spin+orbital,31,0.0,
412,mp-1206874,CoH,Fm-3m,276.8,0.900,light-element hydride heuristic,12.03,0.0,0.036991,0.073983,2,phonon+spin,25,0.0,
413,mp-24096,NdH2,Fm-3m,250.2,1.000,light-element hydride heuristic,13.28,0.0,0.036926,0.073852,2,phonon+spin,23,0.0,
414,mp-1195463,USi6H54C18N3F,P2_1/c,150.7,2.400,hydride heuristic (H_count=54),21.96,0.0,0.036790,0.073580,2,phonon+spin,14,0.0,
415,mp-24151,DyH2,Fm-3m,275.8,0.900,metal hydride heuristic,11.99,0.0,0.036729,0.073457,2,phonon+spin,26,0.0,
416,mp-1191468,NpPH3CO5,P-1,216.7,1.200,hydride heuristic (H_count=3),15.18,0.0,0.036560,0.073120,2,phonon+spin,20,0.0,
417,mp-605437,FeHO2,Pnma,224.5,0.900,light-element hydride heuristic,9.76,0.0,0.024341,0.073023,3,phonon+spin+orbital,31,0.0,
418,mp-699431,AlH4(SeO4)2,P2_1/c,199.2,1.350,hydride heuristic (H_count=4),16.40,0.0,0.036286,0.072572,2,phonon+topological,19,0.0,
419,mp-1191885,MgTi7H16,Fm-3m,211.6,2.400,hydride heuristic (H_count=16),30.83,0.0,0.072485,0.072485,1,phonon,10,0.0,
420,mp-1196240,USi8H56(C4N)4,C2/c,149.2,2.400,hydride heuristic (H_count=56),21.74,0.0,0.036056,0.072112,2,phonon+spin,14,0.0,
421,mp-505569,CeH2,Fm-3m,247.0,1.000,light-element hydride heuristic,13.11,0.0,0.035988,0.071976,2,phonon+spin,23,0.0,
422,mp-1224413,H3Pd4,R-3m,303.8,1.200,hydride heuristic (H_count=3),21.28,0.0,0.071841,0.071841,1,phonon,15,0.0,
423,mp-555953,Na2Cu2Si4H4O13,P-1,198.1,1.350,hydride heuristic (H_count=4),16.31,0.0,0.035907,0.071815,2,phonon+spin,19,0.0,
424,mp-1181662,Cu2H3ClO3,P2_1/c,214.6,1.200,hydride heuristic (H_count=3),15.03,0.0,0.035843,0.071685,2,phonon+spin,20,0.0,
425,mp-644499,CeCoGeH,P4/nmm,272.2,0.900,light-element hydride heuristic,11.83,0.0,0.035770,0.071540,2,phonon+spin,26,0.0,
426,mp-632759,CuH4(OF)2,C2/m,197.6,1.350,hydride heuristic (H_count=4),16.27,0.0,0.035724,0.071448,2,phonon+spin,19,0.0,
427,mp-1201073,Cu2H3ClO3,P-1,214.1,1.200,hydride heuristic (H_count=3),15.00,0.0,0.035692,0.071384,2,phonon+spin,20,0.0,
428,mp-625242,FeHO2,Pnma,221.8,0.900,light-element hydride heuristic,9.64,0.0,0.023758,0.071275,3,phonon+spin+orbital,32,0.0,
429,mp-642737,Cu2H3ClO3,R-3m,213.9,1.200,hydride heuristic (H_count=3),14.98,0.0,0.035599,0.071197,2,phonon+spin,21,0.0,
430,mp-1181656,Cu2H3ClO3,C2/m,213.7,1.200,hydride heuristic (H_count=3),14.97,0.0,0.035542,0.071085,2,phonon+spin,21,0.0,
431,mp-510547,Cu2H3ClO3,Pnma,213.5,1.200,hydride heuristic (H_count=3),14.96,0.0,0.035495,0.070990,2,phonon+spin,21,0.0,
432,mp-1226908,CeCuGeH,P-3m1,270.8,0.900,light-element hydride heuristic,11.77,0.0,0.035413,0.070826,2,phonon+spin,26,0.0,
433,mp-505570,PaH3,Pm-3n,301.5,1.200,hydride heuristic (H_count=3),21.12,0.0,0.070750,0.070750,1,phonon,15,0.0,
434,mp-722310,KErHSe2O9,P-1,220.0,0.900,light-element hydride heuristic,9.56,0.0,0.023372,0.070117,3,phonon+spin+topological,32,0.0,
435,mp-1173788,Na2Ni4Mo4(HO4)5,P-1,219.6,0.900,light-element hydride heuristic,9.54,0.0,0.023288,0.069863,3,phonon+spin+orbital,32,0.0,
436,mp-510571,BaNpPH2O7,P2_1/c,242.3,1.000,light-element hydride heuristic,12.86,0.0,0.034628,0.069255,2,phonon+spin,24,0.0,
437,mp-1215830,YVFe11H,Imm2,270.6,0.750,metal hydride heuristic,7.68,0.0,0.023083,0.069250,3,phonon+spin+orbital,40,0.0,
438,mp-1202875,CuH5N2Cl3,Pnma,182.5,1.500,hydride heuristic (H_count=5),17.07,0.0,0.034613,0.069227,2,phonon+spin,18,0.0,
439,mp-644136,Li2H2Pt,Immm,267.4,0.900,metal hydride heuristic,11.62,0.0,0.034518,0.069035,2,phonon+topological,26,0.0,
440,mp-24092,GdH2,Fm-3m,267.2,0.900,metal hydride heuristic,11.61,0.0,0.034473,0.068946,2,phonon+spin,26,0.0,
441,mp-1202551,CuAsH3O5,P-1,210.3,1.200,hydride heuristic (H_count=3),14.74,0.0,0.034435,0.068871,2,phonon+spin,21,0.0,
442,mp-685437,Ca22H51Rh11,P1,206.2,2.400,hydride heuristic (H_count=51),30.04,0.0,0.068815,0.068815,1,phonon,10,0.0,
443,mp-27350,U(BH4)4,P4_32_12,193.8,1.350,hydride heuristic (H_count=4),15.95,0.0,0.034349,0.068697,2,phonon+spin,19,0.0,
444,mp-759001,Mg2Cu2P2(H4O5)3,Cc,193.7,1.350,hydride heuristic (H_count=4),15.95,0.0,0.034323,0.068647,2,phonon+spin,19,0.0,
445,mp-1180084,Ni(HO)2,C2/m,217.5,0.900,light-element hydride heuristic,9.45,0.0,0.022853,0.068559,3,phonon+spin+orbital,32,0.0,
446,mp-1220940,Rb6Nb6H14O27,P1,205.6,2.400,hydride heuristic (H_count=14),29.96,0.0,0.068463,0.068463,1,phonon,11,0.0,
447,mp-559094,Cu2H3ClO3,P2_1/m,209.5,1.200,hydride heuristic (H_count=3),14.68,0.0,0.034175,0.068349,2,phonon+spin,21,0.0,
448,mp-740757,Mg2Cu2P2(H4O5)3,C2/c,193.3,1.350,hydride heuristic (H_count=4),15.91,0.0,0.034163,0.068325,2,phonon+spin,19,0.0,
449,mp-1275121,Ni(HO)2,C2,217.1,0.900,light-element hydride heuristic,9.43,0.0,0.022752,0.068256,3,phonon+spin+orbital,32,0.0,
450,mp-771965,Sb2P4H3O16,P1,209.2,1.200,hydride heuristic (H_count=3),14.66,0.0,0.034064,0.068128,2,phonon+topological,21,0.0,
451,mp-1219621,RbCu2H3(SO5)2,Cm,209.2,1.200,hydride heuristic (H_count=3),14.65,0.0,0.034057,0.068113,2,phonon+spin,21,0.0,
452,mp-23795,CuH4(OF)2,C2/m,192.7,1.350,hydride heuristic (H_count=4),15.86,0.0,0.033968,0.067937,2,phonon+spin,19,0.0,
453,mp-1202815,EuH3CSO7,P4_1,208.8,1.200,hydride heuristic (H_count=3),14.63,0.0,0.033943,0.067885,2,phonon+spin,21,0.0,
454,mp-1191142,CuBH4ClO4,P4/n,192.4,1.350,hydride heuristic (H_count=4),15.84,0.0,0.033855,0.067711,2,phonon+spin,19,0.0,
455,mp-625074,Ni(HO)2,C2,216.0,0.900,light-element hydride heuristic,9.39,0.0,0.022527,0.067582,3,phonon+spin+orbital,32,0.0,
456,mp-2661453,Li2H2Pt,I4/mmm,264.3,0.900,metal hydride heuristic,11.49,0.0,0.033723,0.067446,2,phonon+topological,27,0.0,
457,mp-707273,U(BH4)4,Cmcm,191.9,1.350,hydride heuristic (H_count=4),15.80,0.0,0.033672,0.067345,2,phonon+spin,19,0.0,
458,mp-861653,ThH3,I4/mmm,294.1,1.200,hydride heuristic (H_count=3),20.60,0.0,0.067323,0.067323,1,phonon,15,0.0,
459,mp-1193540,V2CuH3O7,P-1,207.8,1.200,hydride heuristic (H_count=3),14.56,0.0,0.033622,0.067244,2,phonon+spin,21,0.0,
460,mp-1235688,RbLiCu2H3(SO5)2,Cm,207.8,1.200,hydride heuristic (H_count=3),14.56,0.0,0.033621,0.067242,2,phonon+spin,21,0.0,
461,mp-744386,Al9Fe2Si4HO24,C2/m,215.1,0.900,light-element hydride heuristic,9.35,0.0,0.022337,0.067011,3,phonon+spin+orbital,33,0.0,
462,mp-755681,Te2P4H3O16,P1,207.2,1.200,hydride heuristic (H_count=3),14.52,0.0,0.033429,0.066858,2,phonon+topological,21,0.0,
463,mp-1200440,UH2C(OF)3,C2/c,238.0,1.000,light-element hydride heuristic,12.63,0.0,0.033394,0.066789,2,phonon+spin,24,0.0,
464,mp-766274,Cu2H3NO6,P2_12_12_1,207.1,1.200,hydride heuristic (H_count=3),14.51,0.0,0.033385,0.066769,2,phonon+spin,21,0.0,
465,mp-1200235,CeH3CSO7,P4_3,207.0,1.200,hydride heuristic (H_count=3),14.50,0.0,0.033351,0.066703,2,phonon+spin,21,0.0,
466,mp-24149,LiCe2HO3,Immm,262.4,0.900,light-element hydride heuristic,11.40,0.0,0.033254,0.066508,2,phonon+spin,27,0.0,
467,mp-1205073,CeH3CSO7,P4_1,206.6,1.200,hydride heuristic (H_count=3),14.47,0.0,0.033213,0.066426,2,phonon+spin,21,0.0,
468,mp-1181447,EuH2,P6_3/mmc,261.8,0.900,metal hydride heuristic,11.38,0.0,0.033099,0.066198,2,phonon+spin,27,0.0,
469,mp-23896,LuHCl,R-3m,261.8,0.900,light-element hydride heuristic,11.38,0.0,0.033088,0.066176,2,phonon+spin,27,0.0,
470,mp-686427,PuSi6H54(C6N)3,P31c,142.8,2.400,hydride heuristic (H_count=54),20.81,0.0,0.033024,0.066047,2,phonon+spin,15,0.0,
471,mp-1105196,ZnCuH3ClO3,P2_1/m,206.0,1.200,hydride heuristic (H_count=3),14.43,0.0,0.033021,0.066043,2,phonon+spin,21,0.0,
472,mp-1009077,FeH,Fm-3m,264.2,0.750,metal hydride heuristic,7.50,0.0,0.022012,0.066035,3,phonon+spin+orbital,41,0.0,
473,mp-1068746,TlHPd3,Pm-3m,323.2,0.750,metal hydride heuristic,9.17,0.0,0.032927,0.065855,2,phonon+topological,33,0.0,
474,mp-1173715,NaCo2H3(SO5)2,Cm,205.3,1.200,hydride heuristic (H_count=3),14.38,0.0,0.032808,0.065617,2,phonon+spin,21,0.0,
475,mp-721471,CuPH4O5F,P2_1/c,189.3,1.350,hydride heuristic (H_count=4),15.59,0.0,0.032792,0.065585,2,phonon+spin,20,0.0,
476,mp-707942,B5H2Pb2O11,P2_1/c,235.6,1.000,light-element hydride heuristic,12.50,0.0,0.032732,0.065465,2,phonon+topological,24,0.0,
477,mp-1195975,Mn5P4(H3O10)2,C2/c,205.0,1.200,hydride heuristic (H_count=3),14.36,0.0,0.032725,0.065450,2,phonon+spin,21,0.0,
478,mp-1235164,RbLiCu2H3(SO5)2,P1,205.0,1.200,hydride heuristic (H_count=3),14.36,0.0,0.032704,0.065408,2,phonon+spin,21,0.0,
479,mp-1235141,RbLiCu2H3(SO5)2,P1,204.9,1.200,hydride heuristic (H_count=3),14.35,0.0,0.032671,0.065342,2,phonon+spin,21,0.0,
480,mp-626413,Yb(HO)3,P6_3/m,259.8,0.900,light-element hydride heuristic,11.29,0.0,0.032601,0.065201,2,phonon+spin,27,0.0,
481,mp-1225705,CuH,P-3m1,259.5,0.900,light-element hydride heuristic,11.28,0.0,0.032513,0.065026,2,phonon+spin,27,0.0,
482,mp-1235974,RbLiCu2H3(SO5)2,Cm,204.2,1.200,hydride heuristic (H_count=3),14.30,0.0,0.032450,0.064899,2,phonon+spin,21,0.0,
483,mp-1226171,Cu2H3NO5,P2_1,204.1,1.200,hydride heuristic (H_count=3),14.30,0.0,0.032435,0.064869,2,phonon+spin,21,0.0,
484,mp-24658,SmH2,Fm-3m,258.9,0.900,metal hydride heuristic,11.25,0.0,0.032378,0.064756,2,phonon+spin,27,0.0,
485,mp-707986,K2Pr2H3(S2O9)2,P2_1/c,203.9,1.200,hydride heuristic (H_count=3),14.28,0.0,0.032352,0.064704,2,phonon+spin,22,0.0,
486,mp-1236531,RbLiCu2H3(SO5)2,P1,203.8,1.200,hydride heuristic (H_count=3),14.28,0.0,0.032334,0.064667,2,phonon+spin,22,0.0,
487,mp-642804,KCu2P2H3(O4F)2,C2/m,203.7,1.200,hydride heuristic (H_count=3),14.27,0.0,0.032313,0.064626,2,phonon+spin,22,0.0,
488,mp-772662,MnH4(SO5)2,P2_1/c,187.9,1.350,hydride heuristic (H_count=4),15.47,0.0,0.032309,0.064617,2,phonon+spin,20,0.0,
489,mp-1203485,Fe3B11HO20,Pmn2_1,210.4,0.900,light-element hydride heuristic,9.14,0.0,0.021380,0.064140,3,phonon+spin+orbital,33,0.0,
490,mp-1181127,Li2Ga3Te6(HO2)12,R-3,210.0,0.900,light-element hydride heuristic,9.13,0.0,0.021304,0.063911,3,phonon+spin+topological,33,0.0,
491,mp-1191555,PuP2H2CO6,C2/m,232.8,1.000,light-element hydride heuristic,12.35,0.0,0.031946,0.063892,2,phonon+spin,25,0.0,
492,mp-1147780,K2CuH4,I4/mmm,186.6,1.350,hydride heuristic (H_count=4),15.36,0.0,0.031858,0.063717,2,phonon+spin,20,0.0,
493,mp-643738,Eu(MgH3)2,P4/mmm,202.2,1.200,hydride heuristic (H_count=3),14.16,0.0,0.031813,0.063625,2,phonon+spin,22,0.0,
494,mp-1102496,EuH2,Pnma,256.3,0.900,metal hydride heuristic,11.14,0.0,0.031722,0.063443,2,phonon+spin,27,0.0,
495,mp-23875,CuH4(ClO)2,Pmna,186.1,1.350,hydride heuristic (H_count=4),15.32,0.0,0.031675,0.063349,2,phonon+spin,20,0.0,
496,mp-1101754,Ti4H7,P-43m,218.4,1.900,hydride heuristic (H_count=7),26.09,0.0,0.063298,0.063298,1,phonon,12,0.0,
497,mp-754131,LiNiPHO5,P-1,208.8,0.900,light-element hydride heuristic,9.07,0.0,0.021051,0.063152,3,phonon+spin+orbital,34,0.0,
498,mp-777312,Li4Sn2P4H3O16,P1,201.2,1.200,hydride heuristic (H_count=3),14.09,0.0,0.031498,0.062996,2,phonon+topological,22,0.0,
499,mp-1206123,AlFe3H,Pm-3m,257.6,0.750,metal hydride heuristic,7.31,0.0,0.020923,0.062768,3,phonon+spin+orbital,42,0.0,
500,mp-1223621,KAlSi3Ni3(HO6)2,P1,208.0,0.900,light-element hydride heuristic,9.04,0.0,0.020899,0.062697,3,phonon+spin+orbital,34,0.0,
501,mp-24051,ErHCl,R-3m,254.7,0.900,light-element hydride heuristic,11.07,0.0,0.031334,0.062669,2,phonon+spin,28,0.0,
502,mp-1147650,KCuH3,I4/mcm,200.0,1.200,hydride heuristic (H_count=3),14.01,0.0,0.031150,0.062300,2,phonon+spin,22,0.0,
503,mp-532554,AlCu2Sb(HO)12,P1,206.4,0.900,light-element hydride heuristic,8.97,0.0,0.020564,0.061692,3,phonon+spin+topological,34,0.0,
504,mp-1224333,Hf2HC,R-3m,323.1,1.000,light-element hydride heuristic,17.15,0.0,0.061552,0.061552,1,phonon,18,0.0,
505,mp-976724,Hf(VH2)2,I4_1/a,281.2,1.200,hydride heuristic (H_count=3),19.70,0.0,0.061549,0.061549,1,phonon,16,0.0,
506,mp-763324,Li2Mn2P4H3O16,P1,198.3,1.200,hydride heuristic (H_count=3),13.89,0.0,0.030612,0.061223,2,phonon+spin,22,0.0,
507,mp-722280,LiCuH4Cl3O2,P2_1/c,182.8,1.350,hydride heuristic (H_count=4),15.05,0.0,0.030569,0.061139,2,phonon+spin,20,0.0,
508,mp-1103947,La2H5,I4_1md,242.2,1.500,hydride heuristic (H_count=5),22.67,0.0,0.060996,0.060996,1,phonon,14,0.0,
509,mp-1077746,TiFeH,Pmma,253.9,0.750,metal hydride heuristic,7.20,0.0,0.020322,0.060967,3,phonon+spin+orbital,42,0.0,
